arm,repeat,sample_ms
classical,1,2.3290
classical,1,2.4520
classical,1,2.3920
classical,1,2.3480
classical,1,2.2840
classical,1,2.2490
classical,1,2.2760
classical,1,2.2240
classical,1,2.2140
classical,1,2.3810
classical,1,2.2910
classical,1,2.2340
classical,1,2.2050
classical,1,2.2120
classical,1,2.1710
classical,1,2.2580
classical,1,2.2440
classical,1,2.2210
classical,1,2.2870
classical,1,2.1600
classical,1,2.1620
classical,1,2.2700
classical,1,2.2600
classical,1,2.1590
classical,1,2.2470
classical,1,2.3050
classical,1,2.1910
classical,1,2.2570
classical,1,2.2930
classical,1,2.2100
classical,1,2.2410
classical,1,2.2770
classical,1,2.2030
classical,1,2.2330
classical,1,2.1840
classical,1,2.1830
classical,1,2.3290
classical,1,2.2420
classical,1,2.2320
classical,1,2.2020
classical,1,2.2210
classical,1,2.3280
classical,1,2.3000
classical,1,2.3210
classical,1,2.2970
classical,1,2.1820
classical,1,2.3580
classical,1,2.2330
classical,1,2.2110
classical,1,2.1770
classical,1,2.3160
classical,1,2.2770
classical,1,2.2390
classical,1,2.3160
classical,1,2.2400
classical,1,2.2040
classical,1,2.2770
classical,1,2.1950
classical,1,2.3030
classical,1,2.2060
classical,1,2.1910
classical,1,2.2910
classical,1,2.1900
classical,1,2.3100
classical,1,2.2440
classical,1,2.1760
classical,1,2.2710
classical,1,2.4470
classical,1,2.2540
classical,1,2.2450
classical,1,2.2770
classical,1,2.2320
classical,1,2.2160
classical,1,2.2150
classical,1,2.2500
classical,1,2.2850
classical,1,2.2150
classical,1,2.2580
classical,1,2.2410
classical,1,2.2120
classical,1,2.2860
classical,1,2.2760
classical,1,2.1900
classical,1,2.2260
classical,1,2.2220
classical,1,2.2480
classical,1,2.2790
classical,1,2.2160
classical,1,2.2230
classical,1,2.2860
classical,1,2.2020
classical,1,2.3160
classical,1,2.2520
classical,1,2.1730
classical,1,2.2440
classical,1,2.2330
classical,1,2.1640
classical,1,2.2720
classical,1,2.2710
classical,1,2.1980
classical,1,2.2030
classical,1,2.2490
classical,1,2.1940
classical,1,2.2940
classical,1,2.2650
classical,1,2.2200
classical,1,2.2270
classical,1,2.1640
classical,1,2.3090
classical,1,2.3110
classical,1,2.3280
classical,1,2.1760
classical,1,2.2490
classical,1,2.3140
classical,1,2.4210
classical,1,2.2930
classical,1,2.1430
classical,1,2.2610
classical,1,2.2320
classical,1,2.1740
classical,1,2.2940
classical,1,2.3000
classical,1,2.2690
classical,1,2.2920
classical,1,2.1960
classical,1,2.2930
classical,1,2.2960
classical,1,2.1860
classical,1,2.2610
