delay_ms,rtt_ms,arm,repeat,median_ms
0,0.0,classical,1,2.256
0,0.0,classical,2,2.317
0,0.0,classical,3,2.250
0,0.0,hybrid,1,4.409
0,0.0,hybrid,2,4.341
0,0.0,hybrid,3,4.689
0,0.0,pure,1,4.740
0,0.0,pure,2,4.808
0,0.0,pure,3,4.442
5,10.1,classical,1,12.429
5,10.1,classical,2,12.449
5,10.1,classical,3,12.544
5,10.1,hybrid,1,14.247
5,10.1,hybrid,2,14.322
5,10.1,hybrid,3,14.218
5,10.1,pure,1,14.240
5,10.1,pure,2,14.334
5,10.1,pure,3,14.147
25,50.1,classical,1,52.998
25,50.1,classical,2,52.927
25,50.1,classical,3,52.899
25,50.1,hybrid,1,54.892
25,50.1,hybrid,2,54.712
25,50.1,hybrid,3,54.801
25,50.1,pure,1,54.757
25,50.1,pure,2,54.617
25,50.1,pure,3,54.968
