repeat,i,code,connect_s,appconnect_s,starttransfer_s,total_s
1,1,200,0.000087,0.002542,0.002978,0.002996
1,2,200,0.000067,0.002395,0.002598,0.002614
1,3,200,0.000060,0.002283,0.002501,0.002515
1,4,200,0.000054,0.002277,0.002502,0.002517
1,5,200,0.000058,0.002317,0.002504,0.002519
1,6,200,0.000055,0.002257,0.002434,0.002449
1,7,200,0.000052,0.002211,0.002384,0.002397
1,8,200,0.000062,0.002280,0.002501,0.002516
1,9,200,0.000055,0.002236,0.002414,0.002428
1,10,200,0.000082,0.002314,0.002549,0.002563
1,11,200,0.000052,0.002262,0.002459,0.002474
1,12,200,0.000060,0.002329,0.002552,0.002568
1,13,200,0.000053,0.002242,0.002442,0.002457
1,14,200,0.000059,0.002352,0.002595,0.002612
1,15,200,0.000053,0.002237,0.002485,0.002500
1,16,200,0.000052,0.002253,0.002447,0.002462
1,17,200,0.000061,0.002366,0.002590,0.002605
1,18,200,0.000054,0.002234,0.002416,0.002431
1,19,200,0.000056,0.002336,0.002539,0.002555
1,20,200,0.000057,0.002287,0.002456,0.002472
1,21,200,0.000054,0.002239,0.002420,0.002443
1,22,200,0.000052,0.002261,0.002491,0.002505
1,23,200,0.000061,0.002257,0.002420,0.002434
1,24,200,0.000053,0.002271,0.002453,0.002468
1,25,200,0.000051,0.002250,0.002465,0.002480
1,26,200,0.000059,0.002330,0.002511,0.002525
1,27,200,0.000053,0.002221,0.002391,0.002404
1,28,200,0.000057,0.002334,0.002535,0.002550
1,29,200,0.000068,0.002349,0.002557,0.002573
1,30,200,0.000051,0.002246,0.002416,0.002430
1,31,200,0.000056,0.002290,0.002458,0.002474
1,32,200,0.000056,0.002525,0.002718,0.002733
1,33,200,0.000053,0.002232,0.002380,0.002393
1,34,200,0.000056,0.002252,0.002414,0.002428
1,35,200,0.000061,0.002308,0.002487,0.002500
1,36,200,0.000053,0.002277,0.002462,0.002476
1,37,200,0.000054,0.002371,0.002573,0.002587
1,38,200,0.000058,0.002261,0.002500,0.002514
1,39,200,0.000057,0.002307,0.002473,0.002487
1,40,200,0.000055,0.002317,0.002549,0.002564
1,41,200,0.000064,0.002359,0.002570,0.002585
1,42,200,0.000053,0.002302,0.002478,0.002493
1,43,200,0.000068,0.002517,0.002755,0.002775
1,44,200,0.000059,0.002315,0.002533,0.002549
1,45,200,0.000065,0.002282,0.002459,0.002474
1,46,200,0.000058,0.002320,0.002499,0.002513
1,47,200,0.000056,0.002282,0.002464,0.002477
1,48,200,0.000055,0.002278,0.002455,0.002470
1,49,200,0.000051,0.002189,0.002353,0.002368
1,50,200,0.000053,0.002339,0.002514,0.002528
2,1,200,0.000057,0.002223,0.002382,0.002398
2,2,200,0.000056,0.002379,0.002588,0.002604
2,3,200,0.000068,0.002263,0.002440,0.002456
2,4,200,0.000054,0.002225,0.002394,0.002408
2,5,200,0.000051,0.002329,0.002517,0.002531
2,6,200,0.000054,0.002303,0.002478,0.002493
2,7,200,0.000052,0.002250,0.002421,0.002435
2,8,200,0.000052,0.002295,0.002468,0.002482
2,9,200,0.000056,0.002266,0.002427,0.002442
2,10,200,0.000065,0.002302,0.002478,0.002493
2,11,200,0.000053,0.002206,0.002374,0.002390
2,12,200,0.000057,0.002363,0.002540,0.002553
2,13,200,0.000051,0.002337,0.002593,0.002608
2,14,200,0.000060,0.002594,0.002788,0.002804
2,15,200,0.000054,0.002328,0.002545,0.002561
2,16,200,0.000055,0.002233,0.002404,0.002417
2,17,200,0.000056,0.002258,0.002422,0.002436
2,18,200,0.000055,0.002228,0.002391,0.002405
2,19,200,0.000056,0.002212,0.002368,0.002384
2,20,200,0.000050,0.002208,0.002365,0.002380
2,21,200,0.000053,0.002227,0.002405,0.002420
2,22,200,0.000053,0.002230,0.002396,0.002411
2,23,200,0.000050,0.002176,0.002341,0.002355
2,24,200,0.000051,0.002266,0.002424,0.002439
2,25,200,0.000055,0.002252,0.002414,0.002428
2,26,200,0.000053,0.002299,0.002508,0.002522
2,27,200,0.000054,0.002224,0.002406,0.002420
2,28,200,0.000054,0.002250,0.002429,0.002444
2,29,200,0.000050,0.002247,0.002422,0.002436
2,30,200,0.000060,0.002313,0.002492,0.002507
2,31,200,0.000055,0.002266,0.002453,0.002467
2,32,200,0.000053,0.002301,0.002505,0.002519
2,33,200,0.000054,0.002310,0.002581,0.002599
2,34,200,0.000071,0.002259,0.002456,0.002469
2,35,200,0.000055,0.002222,0.002414,0.002430
2,36,200,0.000055,0.002265,0.002446,0.002461
2,37,200,0.000057,0.002232,0.002438,0.002452
2,38,200,0.000051,0.002251,0.002450,0.002464
2,39,200,0.000053,0.002205,0.002395,0.002409
2,40,200,0.000051,0.002232,0.002429,0.002443
2,41,200,0.000051,0.002195,0.002441,0.002454
2,42,200,0.000051,0.002226,0.002464,0.002478
2,43,200,0.000051,0.002273,0.002502,0.002516
2,44,200,0.000058,0.002285,0.002511,0.002524
2,45,200,0.000053,0.002311,0.002529,0.002544
2,46,200,0.000053,0.002444,0.002676,0.002690
2,47,200,0.000051,0.002174,0.002349,0.002377
2,48,200,0.000056,0.002228,0.002450,0.002465
2,49,200,0.000054,0.002258,0.002468,0.002482
2,50,200,0.000058,0.002362,0.002522,0.002554
3,1,200,0.000071,0.002221,0.002423,0.002438
3,2,200,0.000059,0.002341,0.002519,0.002547
3,3,200,0.000053,0.002169,0.002324,0.002342
3,4,200,0.000070,0.002293,0.002465,0.002480
3,5,200,0.000057,0.002237,0.002448,0.002479
3,6,200,0.000052,0.002307,0.002493,0.002507
3,7,200,0.000059,0.002279,0.002455,0.002477
3,8,200,0.000053,0.002352,0.002530,0.002546
3,9,200,0.000051,0.002161,0.002383,0.002397
3,10,200,0.000052,0.002234,0.002407,0.002422
3,11,200,0.000055,0.002201,0.002364,0.002378
3,12,200,0.000054,0.002190,0.002352,0.002371
3,13,200,0.000054,0.002149,0.002336,0.002350
3,14,200,0.000051,0.002222,0.002402,0.002416
3,15,200,0.000056,0.002274,0.002456,0.002471
3,16,200,0.000049,0.002172,0.002341,0.002354
3,17,200,0.000054,0.002340,0.002534,0.002548
3,18,200,0.000051,0.002186,0.002369,0.002384
3,19,200,0.000049,0.002279,0.002451,0.002465
3,20,200,0.000054,0.002233,0.002405,0.002419
3,21,200,0.000050,0.002214,0.002406,0.002420
3,22,200,0.000057,0.002264,0.002438,0.002467
3,23,200,0.000055,0.002289,0.002478,0.002494
3,24,200,0.000056,0.002273,0.002473,0.002488
3,25,200,0.000056,0.002223,0.002400,0.002415
3,26,200,0.000052,0.002312,0.002479,0.002493
3,27,200,0.000062,0.002339,0.002514,0.002543
3,28,200,0.000054,0.002551,0.002732,0.002747
3,29,200,0.000061,0.002305,0.002525,0.002540
3,30,200,0.000053,0.002217,0.002418,0.002432
3,31,200,0.000054,0.002165,0.002347,0.002372
3,32,200,0.000051,0.002191,0.002376,0.002392
3,33,200,0.000058,0.002399,0.002596,0.002612
3,34,200,0.000063,0.002316,0.002495,0.002510
3,35,200,0.000060,0.002369,0.002537,0.002553
3,36,200,0.000054,0.002255,0.002417,0.002433
3,37,200,0.000053,0.002220,0.002378,0.002392
3,38,200,0.000052,0.002260,0.002422,0.002436
3,39,200,0.000051,0.002358,0.002549,0.002565
3,40,200,0.000052,0.002207,0.002372,0.002388
3,41,200,0.000052,0.002288,0.002467,0.002482
3,42,200,0.000052,0.002284,0.002465,0.002480
3,43,200,0.000055,0.002362,0.002526,0.002542
3,44,200,0.000055,0.002250,0.002412,0.002427
3,45,200,0.000054,0.002227,0.002411,0.002426
3,46,200,0.000055,0.002490,0.002695,0.002711
3,47,200,0.000061,0.002365,0.002560,0.002574
3,48,200,0.000054,0.002282,0.002464,0.002479
3,49,200,0.000057,0.002383,0.002579,0.002594
3,50,200,0.000058,0.002250,0.002421,0.002436
4,1,200,0.000055,0.002364,0.002574,0.002591
4,2,200,0.000063,0.002290,0.002474,0.002489
4,3,200,0.000057,0.002331,0.002528,0.002544
4,4,200,0.000052,0.002186,0.002370,0.002384
4,5,200,0.000069,0.002255,0.002425,0.002439
4,6,200,0.000056,0.002165,0.002361,0.002375
4,7,200,0.000052,0.002234,0.002418,0.002432
4,8,200,0.000076,0.002494,0.002716,0.002748
4,9,200,0.000055,0.002262,0.002461,0.002475
4,10,200,0.000057,0.002585,0.002772,0.002785
4,11,200,0.000051,0.002205,0.002368,0.002383
4,12,200,0.000051,0.002150,0.002305,0.002333
4,13,200,0.000054,0.002244,0.002410,0.002425
