arm,repeat,window,conn_cpu_s,conn_wall_s
classical,1,1,1373.39,800.3
classical,1,2,1367.23,805.1
classical,1,3,1306.31,772.4
classical,2,1,1378.67,811.1
classical,2,2,1296.45,764.0
classical,2,3,1344.12,789.7
classical,3,1,1365.84,799.9
classical,3,2,1304.48,768.8
classical,3,3,1389.69,808.9
hybrid,1,1,445.15,250.4
hybrid,1,2,474.96,267.3
hybrid,1,3,468.37,266.7
hybrid,2,1,457.83,260.5
hybrid,2,2,460.00,261.6
hybrid,2,3,475.20,268.3
hybrid,3,1,454.88,258.7
hybrid,3,2,469.63,264.4
hybrid,3,3,474.43,266.6
pure,1,1,468.81,258.6
pure,1,2,494.88,272.7
pure,1,3,465.45,256.1
pure,2,1,497.52,273.7
pure,2,2,498.51,274.3
pure,2,3,472.73,260.1
pure,3,1,493.83,269.5
pure,3,2,495.69,271.9
pure,3,3,469.69,259.3
