seq,arm,repeat,connect_ms,handshake_ms
1,classical,1,80.9420,19.0750
1,classical,1,12.2450,16.7390
1,classical,1,12.2020,14.7430
1,classical,1,11.6040,14.2970
1,classical,1,11.7720,15.2260
1,classical,1,11.1720,15.3370
1,classical,1,11.4710,14.5780
1,classical,1,11.2970,15.3970
1,classical,1,11.5280,14.4090
1,classical,1,10.9310,15.0870
1,classical,1,12.2800,15.1720
1,classical,1,11.6970,14.5600
1,classical,1,11.5980,15.6520
1,classical,1,11.7970,15.3500
1,classical,1,10.6260,15.0370
1,classical,1,11.7300,14.4360
1,classical,1,12.0880,15.3560
1,classical,1,11.1470,13.4740
1,classical,1,12.1830,14.0560
1,classical,1,11.7110,15.0400
1,classical,1,11.7330,14.5830
1,classical,1,11.7170,14.9800
1,classical,1,11.0750,14.6160
1,classical,1,12.3920,15.2530
1,classical,1,11.3760,15.9060
1,classical,1,12.3360,14.4590
1,classical,1,12.0620,14.9940
1,classical,1,11.6040,15.4690
1,classical,1,11.0220,14.4030
1,classical,1,12.1350,15.1250
1,classical,1,11.3060,15.5160
1,classical,1,11.2130,15.4230
1,classical,1,10.9940,14.6790
1,classical,1,11.5960,15.2490
1,classical,1,12.0100,15.4170
1,classical,1,11.5170,15.8440
1,classical,1,11.5710,14.2920
1,classical,1,11.5090,15.4210
1,classical,1,11.1000,14.5540
1,classical,1,11.3900,14.8640
1,classical,1,12.0590,15.5360
1,classical,1,11.3360,14.5750
1,classical,1,11.8500,15.5380
1,classical,1,11.0950,15.4710
1,classical,1,11.3990,14.5990
1,classical,1,11.9560,15.0080
1,classical,1,11.8470,14.2690
1,classical,1,11.1990,14.5190
1,classical,1,11.8010,15.5610
1,classical,1,11.2900,14.4780
1,classical,1,11.3330,14.2080
1,classical,1,11.8590,14.9260
1,classical,1,11.5580,15.4100
1,classical,1,11.2920,14.4510
1,classical,1,11.9090,14.5100
1,classical,1,11.4910,14.3440
1,classical,1,12.0850,15.3580
1,classical,1,10.7360,14.4890
1,classical,1,10.5780,15.4050
1,classical,1,11.6190,14.6830
1,classical,1,14.3260,14.3980
1,classical,1,10.8990,14.9870
1,classical,1,11.0650,14.2290
1,classical,1,11.3670,14.1540
1,classical,1,12.9170,14.4030
1,classical,1,11.0210,14.4710
1,classical,1,11.1590,13.8860
1,classical,1,10.8130,14.1190
1,classical,1,11.4400,14.0530
1,classical,1,11.0370,14.1390
1,classical,1,10.9080,14.3700
1,classical,1,10.6230,14.4540
1,classical,1,10.7440,14.2630
1,classical,1,10.3700,14.4640
1,classical,1,10.9290,14.4440
1,classical,1,11.2870,14.4030
1,classical,1,11.0750,14.3800
1,classical,1,11.3090,14.8530
1,classical,1,13.0690,14.1030
1,classical,1,10.3220,14.5780
1,classical,1,10.7170,14.5200
1,classical,1,11.3600,14.2950
1,classical,1,11.4660,13.9040
1,classical,1,11.2750,14.5440
1,classical,1,10.3660,14.4580
1,classical,1,10.3330,14.6140
1,classical,1,12.4700,16.4030
1,classical,1,12.4770,14.5480
1,classical,1,11.2220,14.6230
1,classical,1,10.8960,14.7630
1,classical,1,10.7010,14.4030
1,classical,1,10.9980,14.1990
1,classical,1,11.2660,14.5740
1,classical,1,10.6170,14.3270
1,classical,1,11.0080,14.4230
1,classical,1,10.5130,14.9100
1,classical,1,11.5820,24.6200
1,classical,1,11.6350,15.2110
1,classical,1,11.1870,15.1990
1,classical,1,11.7320,15.4330
2,hybrid,1,11.6550,20.1370
2,hybrid,1,11.7990,19.8450
2,hybrid,1,12.1560,20.5240
2,hybrid,1,11.2910,18.6330
2,hybrid,1,10.5910,19.0650
2,hybrid,1,10.9990,18.6880
2,hybrid,1,11.5850,18.6080
2,hybrid,1,11.3900,18.7130
2,hybrid,1,11.2750,19.2140
2,hybrid,1,11.2540,19.0280
2,hybrid,1,11.4950,19.3730
2,hybrid,1,11.5890,19.8150
2,hybrid,1,11.8010,19.6640
2,hybrid,1,11.2190,18.8150
2,hybrid,1,11.5090,19.4230
2,hybrid,1,12.8330,18.1890
2,hybrid,1,11.6980,19.4060
2,hybrid,1,11.6630,18.1270
2,hybrid,1,11.3750,18.9430
2,hybrid,1,11.1710,18.3190
2,hybrid,1,12.1120,20.4700
2,hybrid,1,12.0270,20.8870
2,hybrid,1,11.3560,18.8200
2,hybrid,1,11.0950,18.7040
2,hybrid,1,11.7910,18.3800
2,hybrid,1,11.0120,20.7600
2,hybrid,1,11.1510,19.7600
2,hybrid,1,10.6910,19.7200
2,hybrid,1,11.3700,18.6680
2,hybrid,1,11.0370,19.0720
2,hybrid,1,11.6780,19.1630
2,hybrid,1,11.5220,20.6270
2,hybrid,1,11.1010,18.0840
2,hybrid,1,10.6400,20.3200
2,hybrid,1,11.0800,19.7680
2,hybrid,1,11.1680,20.2370
2,hybrid,1,10.8370,19.7120
2,hybrid,1,93.4520,26.8450
2,hybrid,1,12.4160,21.3670
2,hybrid,1,12.1200,21.4600
2,hybrid,1,12.1780,20.1380
2,hybrid,1,12.8570,22.0380
2,hybrid,1,11.0790,19.4850
2,hybrid,1,10.6790,18.2280
2,hybrid,1,11.3490,18.5430
2,hybrid,1,11.8920,18.7220
2,hybrid,1,11.6370,18.3710
2,hybrid,1,11.9010,19.0800
2,hybrid,1,10.4910,19.4940
2,hybrid,1,11.5860,18.4520
2,hybrid,1,11.6270,20.8500
2,hybrid,1,10.8960,18.6220
2,hybrid,1,11.5370,18.0880
2,hybrid,1,11.3930,23.2560
2,hybrid,1,10.9010,18.8790
2,hybrid,1,11.0380,19.2250
2,hybrid,1,11.8720,18.3880
2,hybrid,1,11.0660,18.4360
2,hybrid,1,10.7970,17.1090
2,hybrid,1,11.8240,18.3750
2,hybrid,1,11.2700,19.8680
2,hybrid,1,10.8290,18.0280
2,hybrid,1,11.9950,18.0740
2,hybrid,1,11.2390,18.6960
2,hybrid,1,10.6770,18.4130
2,hybrid,1,10.7870,19.9150
2,hybrid,1,11.4760,19.1290
2,hybrid,1,11.4670,18.4440
2,hybrid,1,10.3650,18.8710
2,hybrid,1,11.0680,19.1240
2,hybrid,1,11.3090,19.0000
2,hybrid,1,11.4650,19.5410
2,hybrid,1,11.7850,17.8540
2,hybrid,1,11.0020,19.3450
2,hybrid,1,11.0390,18.3550
2,hybrid,1,11.0840,27.1170
2,hybrid,1,11.9520,22.1000
2,hybrid,1,10.8780,18.5290
2,hybrid,1,11.0640,20.9320
2,hybrid,1,11.0360,19.1140
2,hybrid,1,10.8430,20.7700
2,hybrid,1,11.2310,18.1930
2,hybrid,1,11.9020,18.6060
2,hybrid,1,11.4600,20.3900
2,hybrid,1,11.0270,18.9900
2,hybrid,1,10.8670,18.7780
2,hybrid,1,11.7140,19.5170
2,hybrid,1,11.2770,18.6120
2,hybrid,1,10.8720,21.8300
2,hybrid,1,10.7660,17.4240
2,hybrid,1,11.2750,18.1580
2,hybrid,1,11.4380,19.1830
2,hybrid,1,10.8440,17.5620
