arm,policy,repeat,s2c,c2s,total
classical,leaf,1,1768,1661,3429
classical,leaf,2,1769,1661,3430
classical,leaf,3,1768,1662,3430
classical,int,1,1768,1661,3429
classical,int,2,1768,1660,3428
classical,int,3,1769,1661,3430
classical,full,1,1768,2179,3947
classical,full,2,1768,2179,3947
classical,full,3,1769,2179,3948
hybrid,leaf,1,11219,16327,27546
hybrid,leaf,2,11219,16327,27546
hybrid,leaf,3,11219,16327,27546
hybrid,int,1,11219,16327,27546
hybrid,int,2,11219,16327,27546
hybrid,int,3,11219,16327,27546
hybrid,full,1,11219,21991,33210
hybrid,full,2,11219,21991,33210
hybrid,full,3,11219,21991,33210
pure,leaf,1,11187,16295,27482
pure,leaf,2,11187,16295,27482
pure,leaf,3,11187,16295,27482
pure,int,1,11187,16295,27482
pure,int,2,11187,16295,27482
pure,int,3,11187,16295,27482
pure,full,1,11187,21959,33146
pure,full,2,11187,21959,33146
pure,full,3,11187,21959,33146
